PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-8339886963591873876,-0.6786396271970743,0.0,1.0,0.0,0.992,0.992,1.0,0.528,0.528,1.0,Inner Tree Node,2,0.0202020202020202
-8339886963591873876,0.4219593814238975,0.0,1.0,1.0,1.0,1.0,1.0,0.828,0.828,1.0,Bulk,2,0.0
-8339886963591873876,-0.610382147461518,0.048,1.0,0.0,0.948,0.948,0.948,0.384,0.384,0.948,Bulk,2,0.0008245722531436817
-8339886963591873876,-0.06446398189004655,0.0,2.0,1.0,1.0,1.0,1.0,0.756,0.756,1.0,Bulk,3,0.004552325980897409
-8339886963591873876,0.3922541160362723,0.352,1.0,0.0,0.644,0.644,0.644,0.292,0.292,0.644,Sparse Sprout,1,0.0
-8339886963591873876,0.9837728792506363,0.016,2.0,0.0,0.784,0.784,0.784,0.272,0.272,0.784,Proper Leave,1,0.0
-8339886963591873876,-0.75243682032935,0.012,2.0,1.0,0.896,0.896,0.988,0.688,0.688,0.988,Sparse Sprout,1,0.0
-8339886963591873876,0.7709745113297528,0.0,2.0,1.0,0.904,0.904,1.0,0.52,0.52,1.0,Proper Leave,1,0.0
-8339886963591873876,0.36903764536681394,0.0,2.0,1.0,1.0,1.0,1.0,0.644,0.644,1.0,Bulk,2,0.00010307153164296021
-8339886963591873876,0.2272746454095325,0.148,1.0,0.0,0.84,0.84,0.84,0.348,0.348,0.812,Inner Tree Node,2,0.0202020202020202
-8339886963591873876,-0.22345913972324155,0.0,1.0,0.0,1.0,1.0,1.0,0.376,0.376,1.0,Sparse Sprout,1,0.0
-8339886963591873876,-0.6821579214722511,0.2,1.0,0.0,0.792,0.792,0.792,0.368,0.368,0.792,Proper Leave,1,0.0
-8339886963591873876,-0.7228784785258036,0.172,1.0,1.0,0.824,0.824,0.824,0.696,0.696,0.824,Bulk,2,0.052978767264481544
-8339886963591873876,0.9717821112694393,0.032,2.0,0.0,0.728,0.728,0.728,0.276,0.276,0.728,Sparse Sprout,1,0.0
-8339886963591873876,0.06367462322672425,0.0,1.0,0.0,1.0,1.0,1.0,0.32,0.32,0.944,Dense Sprout,1,0.0
-8339886963591873876,0.5241156293929139,0.0,1.0,1.0,1.0,1.0,1.0,0.832,0.832,1.0,Bulk,2,0.0
-8339886963591873876,0.15646986481422542,0.0,1.0,1.0,1.0,1.0,1.0,0.864,0.864,1.0,Sparse Sprout,1,0.0
-8339886963591873876,-0.9085227110466892,0.228,1.0,0.0,0.772,0.772,0.772,0.384,0.384,0.772,Sparse Sprout,1,0.0
-8339886963591873876,0.8298630270130066,0.016,2.0,1.0,0.98,0.98,0.984,0.668,0.668,0.984,Bulk,2,0.016312787741359167
-8339886963591873876,0.08145205275991745,0.0,2.0,0.0,1.0,1.0,1.0,0.32,0.32,0.984,Dense Sprout,1,0.0
-8339886963591873876,-0.9369123641574706,0.004,1.0,1.0,0.992,0.992,0.996,0.552,0.552,0.996,Bulk,2,0.006374728823708423
-8339886963591873876,0.49250096163034457,0.0,1.0,0.0,1.0,1.0,1.0,0.32,0.32,0.908,Bulk,2,0.0
-8339886963591873876,0.45648473122474453,0.0,1.0,0.0,1.0,1.0,1.0,0.3,0.3,0.816,Dense Sprout,1,0.0
-8339886963591873876,0.6282331803929496,0.196,1.0,0.0,0.804,0.804,0.804,0.308,0.308,0.804,Sparse Sprout,1,0.0
3482549824261813216,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,5,0.09537208822923104
3482549824261813216,-0.6257525130652692,0.0,1.0,1.0,1.0,1.0,1.0,0.932,0.932,1.0,Root,6,0.35000171785886064
3482549824261813216,0.6823346976148781,0.0,1.0,1.0,1.0,1.0,1.0,0.964,0.964,1.0,Root,6,0.20583900226757368
3482549824261813216,-0.1902475260167093,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,9,0.4686877685177006
3482549824261813216,-0.5911402193643951,0.0,1.0,0.0,1.0,1.0,1.0,0.656,0.656,1.0,Bulk,6,0.10739840909908942
3482549824261813216,-0.1704025294688641,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,5,0.06147456096435691
3482549824261813216,-0.1151709615869311,0.02,1.0,0.0,0.98,0.98,0.98,0.576,0.576,0.98,Bulk,7,0.2139245549109496
3482549824261813216,-0.17706957024669168,0.0,1.0,0.0,1.0,1.0,1.0,0.992,0.992,1.0,Root,6,0.23224249295677876
3482549824261813216,0.3201787378663901,0.0,1.0,0.0,1.0,1.0,1.0,0.396,0.396,0.932,Bulk,4,0.02186834329691471
3482549824261813216,-0.36447374476164246,0.02,1.0,0.0,0.9,0.9,0.9,0.472,0.48,0.828,Root,6,0.09666220023362883
3482549824261813216,0.3452483296030017,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,6,0.11573264226325448
3482549824261813216,-0.6397148006329072,0.0,1.0,1.0,1.0,1.0,1.0,0.936,0.936,1.0,Bulk,7,0.2439256510685082
3482549824261813216,-0.8668294842457908,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,3,0.032663368377654094
