PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-2351091494460819969,-0.640651858551881,0.0,1.0,1.0,0.996,0.996,1.0,0.556,0.556,1.0,Bulk,2,0.006287363430220573
-2351091494460819969,-0.3936422523565545,0.0,1.0,1.0,1.0,1.0,1.0,0.972,0.972,1.0,Sparse Sprout,1,0.0
-2351091494460819969,0.7997901544849394,0.004,3.0,1.0,0.788,0.788,0.996,0.536,0.536,0.996,Proper Leave,1,0.0
-2351091494460819969,-0.03128527356449289,0.0,1.0,0.0,1.0,1.0,1.0,0.364,0.364,0.964,Bulk,2,0.0
-2351091494460819969,-0.4064069380884933,0.016,1.0,0.0,0.984,0.984,0.984,0.444,0.444,0.984,Bulk,2,0.008794411113520575
-2351091494460819969,-0.5024572445825242,0.04,1.0,0.0,0.96,0.96,0.96,0.412,0.412,0.956,Bulk,3,0.0008245722531436817
-2351091494460819969,0.6602112132736362,0.008,2.0,1.0,0.8,0.8,0.992,0.54,0.54,0.992,Sparse Sprout,1,0.0
-2351091494460819969,-0.6842720117648433,0.0,1.0,1.0,1.0,1.0,1.0,0.62,0.62,1.0,Bulk,2,0.0
-2351091494460819969,-0.2563396476783417,0.016,1.0,0.0,0.98,0.98,0.98,0.376,0.376,0.972,Bulk,2,0.00656651326410139
-2351091494460819969,0.8094860139371711,0.0,1.0,1.0,1.0,1.0,1.0,0.524,0.524,1.0,Bulk,2,0.0
-2351091494460819969,-0.8736724332095219,0.0,2.0,1.0,1.0,1.0,1.0,0.712,0.712,1.0,Bulk,2,0.008197708591550336
-2351091494460819969,0.4553907000655285,0.0,3.0,1.0,0.904,0.904,1.0,0.472,0.472,1.0,Proper Leave,1,0.0
-2351091494460819969,0.7429786551569346,0.208,1.0,0.0,0.78,0.78,0.78,0.332,0.332,0.78,Proper Leave,1,0.0
-2351091494460819969,-0.41215818715992414,0.0,2.0,0.0,1.0,1.0,1.0,0.36,0.36,1.0,Proper Leave,1,0.0
-4753569881913528626,Slack,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,9,0.3565191925736144
-4753569881913528626,0.23009311634007532,0.004,1.0,1.0,0.92,0.92,0.996,0.92,0.92,0.996,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,-0.47079731291606647,0.0,1.0,0.0,1.0,1.0,1.0,0.476,0.476,0.944,Bulk,6,0.13239849090189224
-4753569881913528626,0.093203077849215,0.024,1.0,0.0,0.976,0.976,0.976,0.368,0.368,0.908,Bulk,3,0.053038156099380576
-4753569881913528626,0.520318382453149,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,6,0.12251900279111166
-4753569881913528626,0.05366576627406517,0.0,1.0,1.0,1.0,1.0,1.0,0.964,0.964,1.0,Bulk,6,0.06861766351562266
-4753569881913528626,0.18433923503712596,0.3,1.0,0.0,0.672,0.672,0.672,0.436,0.436,0.672,Root,6,0.08525913491899889
-4753569881913528626,-0.6344682140403202,0.0,1.0,0.0,1.0,1.0,1.0,0.868,0.868,1.0,Root,9,0.3440622617493365
-4753569881913528626,0.23799121284108335,0.388,1.0,0.0,0.588,0.588,0.588,0.584,0.584,0.588,Bulk,5,0.06930856998884212
-4753569881913528626,0.3397248791592158,0.0,1.0,0.0,1.0,1.0,1.0,0.588,0.588,1.0,Bulk,6,0.2985174060003993
-4753569881913528626,0.1176591950288928,0.136,1.0,0.0,0.852,0.852,0.852,0.456,0.456,0.852,Root,5,0.1537212095035224
-4753569881913528626,-0.7934582191262196,0.0,2.0,0.0,0.768,0.768,0.768,0.28,0.28,0.768,Dense Sprout,1,0.0
-4753569881913528626,-0.6170576368500575,0.0,1.0,0.0,1.0,1.0,1.0,0.4,0.4,0.856,Bulk,3,0.018467637175120167
-4753569881913528626,-0.1744374133405662,0.028,1.0,0.0,0.972,0.972,0.972,0.492,0.492,0.96,Bulk,5,0.16665603230229076
-4753569881913528626,-0.508685575982543,0.0,2.0,1.0,1.0,1.0,1.0,0.748,0.748,1.0,Bulk,3,0.06263984189154259
-4753569881913528626,0.40523357785647274,0.056,1.0,0.0,0.94,0.94,0.94,0.464,0.464,0.932,Bulk,4,0.01448842163127877
-4753569881913528626,0.5605037846297818,0.0,1.0,1.0,1.0,1.0,1.0,0.932,0.932,1.0,Root,7,0.17020725558140518
-4753569881913528626,-0.3867438408058282,0.448,1.0,0.0,0.508,0.508,0.508,0.5,0.5,0.508,Bulk,4,0.008857280285851712
-4753569881913528626,-0.685679619414771,0.004,1.0,0.0,0.912,0.912,0.912,0.516,0.516,0.912,Inner Tree Node,3,0.05978148835291692
-4753569881913528626,0.3997481843891987,0.036,1.0,0.0,0.96,0.96,0.96,0.756,0.756,0.96,Bulk,6,0.12326520795908548
-4753569881913528626,0.2059890138809317,0.0,2.0,1.0,1.0,1.0,1.0,0.852,0.852,1.0,Root,4,0.07307967920212816
-4753569881913528626,0.8865208400519607,0.0,1.0,1.0,1.0,1.0,1.0,0.808,0.808,1.0,Bulk,3,0.12920474587141245
-4753569881913528626,-0.9527407487119524,0.0,2.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,Bulk,2,0.006953892668178382
-4753569881913528626,-0.19471348962597146,0.0,1.0,1.0,1.0,1.0,1.0,0.72,0.72,1.0,Bulk,2,0.0
-4753569881913528626,0.7872285786600077,0.0,2.0,1.0,1.0,1.0,1.0,0.816,0.816,1.0,Bulk,2,0.006953892668178382
-4753569881913528626,-0.9917976431242447,0.0,1.0,1.0,1.0,1.0,1.0,0.74,0.74,1.0,Root,3,0.06941164152048507
-4753569881913528626,-0.1526479357516823,0.004,1.0,0.0,0.996,0.996,0.996,0.364,0.364,0.952,Bulk,3,0.03545791573002456
-4753569881913528626,-0.08260702949188838,0.108,1.0,0.0,0.876,0.876,0.876,0.616,0.616,0.876,Bulk,3,0.0016491445062873633
-4753569881913528626,-0.6215540543299539,0.032,1.0,0.0,0.952,0.952,0.952,0.356,0.356,0.88,Bulk,3,0.02915042881029276
-4753569881913528626,-0.02221486091750573,0.0,2.0,1.0,1.0,1.0,1.0,0.572,0.572,1.0,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,0.5964418861724663,0.004,1.0,0.0,0.984,0.984,0.996,0.592,0.592,0.996,Inner Tree Node,3,0.07895279323850753
-4753569881913528626,-0.439225889313755,0.0,1.0,1.0,1.0,1.0,1.0,0.896,0.896,1.0,Root,5,0.18100538916865447
-4753569881913528626,-0.6965811495019572,0.0,1.0,0.0,1.0,1.0,1.0,0.66,0.66,1.0,Root,4,0.07224790830233008
-4753569881913528626,0.6371801177575603,0.0,1.0,1.0,1.0,1.0,1.0,0.916,0.916,1.0,Bulk,3,0.008946608946608946
-4753569881913528626,0.42955341232321054,0.0,1.0,1.0,1.0,1.0,1.0,0.888,0.888,1.0,Bulk,2,0.012437298151583866
-4753569881913528626,0.3058042507293306,0.0,1.0,1.0,1.0,1.0,1.0,0.976,0.976,1.0,Root,8,0.08876323978364796
-4753569881913528626,-0.043556090406573926,0.0,2.0,1.0,1.0,1.0,1.0,0.868,0.868,1.0,Bulk,2,0.008431251288394146
-4753569881913528626,0.7549108027918046,0.068,1.0,0.0,0.928,0.928,0.928,0.316,0.316,0.928,Bulk,2,0.0
-4753569881913528626,0.666656546997215,0.008,2.0,1.0,0.916,0.916,0.992,0.688,0.688,0.992,Sparse Sprout,1,0.0
-4753569881913528626,0.17236877562658157,0.0,1.0,0.0,0.948,0.948,1.0,0.584,0.584,1.0,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,0.16515960803003407,0.0,1.0,0.0,1.0,1.0,1.0,0.436,0.436,0.912,Root,3,0.032635882635882636
-4753569881913528626,-0.2966083282661849,0.0,2.0,1.0,1.0,1.0,1.0,0.584,0.584,1.0,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,0.006061260182386452,0.0,1.0,1.0,1.0,1.0,1.0,0.892,0.892,1.0,Bulk,5,0.12103493634105879
-4753569881913528626,-0.578319400574977,0.0,1.0,1.0,1.0,1.0,1.0,0.924,0.924,1.0,Bulk,2,0.0
-4753569881913528626,-0.9051432838076962,0.0,1.0,0.0,0.892,0.892,0.892,0.388,0.388,0.892,Bulk,2,0.003985432556861129
-4753569881913528626,0.9399374360040834,0.212,2.0,0.0,0.784,0.784,0.784,0.372,0.372,0.784,Bulk,4,0.004432075860647289
-4753569881913528626,0.3243954256374824,0.0,2.0,0.0,1.0,1.0,1.0,0.344,0.344,0.948,Sparse Sprout,1,0.0
-4753569881913528626,-0.02525540356647857,0.0,1.0,1.0,1.0,1.0,1.0,0.76,0.76,1.0,Bulk,2,0.0
-4753569881913528626,-0.9168409464960098,0.0,3.0,1.0,0.816,0.816,1.0,0.476,0.476,1.0,Proper Leave,1,0.0
-4753569881913528626,-0.15193931368540073,0.0,1.0,0.0,1.0,1.0,1.0,0.368,0.368,0.964,Bulk,2,0.030017865732151445
