PG_IDX,Abs_Spread,AX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
147318256991670372,0.347326593729201,1.1621955105621162,-0.39338256418543405,0.116,1.0,1.0,0.884,0.884,0.884,0.884,0.884,0.884,Bulk,2,0.0
147318256991670372,0.19643031382606363,1.947025990982905,0.44145643143276475,0.68,1.0,0.0,0.312,0.312,0.312,0.312,0.312,0.312,Root,4,0.04019789734075448
147318256991670372,0.20027594769274842,1.8762622427876676,0.37469312290330126,0.54,1.0,0.0,0.444,0.444,0.444,0.356,0.356,0.444,Inner Tree Node,2,0.0202020202020202
147318256991670372,0.10404500460995235,1.2538367369266896,0.6371972998794938,0.024,1.0,0.0,0.976,0.976,0.976,0.424,0.424,0.976,Bulk,2,0.0
147318256991670372,0.0,1.0918043879218287,0.0035539469999826285,0.28,3.0,0.0,0.72,0.72,0.72,0.388,0.388,0.72,Proper Leave,1,0.0
147318256991670372,0.19273492026727188,1.8400780228813471,0.8330809336025277,0.132,1.0,0.0,0.864,0.864,0.864,0.5,0.5,0.864,Bulk,2,0.003179065145669968
147318256991670372,0.24514917974282213,2.0749996431505786,0.5075472436935649,0.712,1.0,0.0,0.28,0.28,0.28,0.26,0.26,0.28,Bulk,2,0.0021645021645021645
147318256991670372,0.07761624637577062,1.3759793362130748,-0.8069714199761272,0.0,1.0,0.0,0.836,0.836,0.836,0.344,0.344,0.996,Sparse Sprout,1,0.0
147318256991670372,0.32967840837115076,1.2458985470551152,0.30542577039522767,0.132,1.0,1.0,0.864,0.864,0.864,0.796,0.796,0.864,Bulk,3,0.040031024771284514
147318256991670372,0.23159381868671217,1.719612902414128,-0.44584734622411837,0.744,1.0,0.0,0.24,0.24,0.24,0.204,0.204,0.24,Bulk,2,0.030064984146616812
147318256991670372,0.4609790156830828,1.701806422514568,-0.36894566372445947,0.016,1.0,1.0,0.984,0.984,0.984,0.984,0.984,0.984,Bulk,2,0.01763428971221178
147318256991670372,0.0,1.0433510412386136,0.013904007658806566,0.568,2.0,0.0,0.432,0.432,0.432,0.232,0.232,0.432,Sparse Sprout,1,0.0
147318256991670372,0.16935079664682245,1.1247465059301973,0.4244156924611676,0.0,2.0,1.0,1.0,1.0,1.0,0.792,0.792,1.0,Root,3,0.020202020202020197
147318256991670372,0.08073184993872333,1.4268365621624595,0.5218055480361342,0.064,1.0,0.0,0.876,0.876,0.876,0.44,0.44,0.936,Sparse Sprout,1,0.0
147318256991670372,0.13023905753010226,1.4484497984603895,0.5582719495832027,0.468,1.0,0.0,0.532,0.532,0.532,0.392,0.392,0.532,Bulk,2,0.0
147318256991670372,0.21511787450769085,1.2739131040357328,0.2253956959377158,0.0,1.0,1.0,1.0,1.0,1.0,0.912,0.912,1.0,Inner Tree Node,2,0.020202020202020197
147318256991670372,0.4273420184157141,1.57548872989823,-0.005804466726859428,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,3,0.02041503470074898
147318256991670372,0.5004915841882812,1.1419870588824115,-0.27339661161242346,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,3,0.04375042946471516
147318256991670372,0.0,1.0286688424629835,0.25022585145478576,0.032,2.0,0.0,0.968,0.968,0.968,0.456,0.456,0.968,Inner Tree Node,2,0.05936920222634508
147318256991670372,0.2973911794172886,2.0830407396883417,0.8710759440736601,0.384,1.0,0.0,0.608,0.608,0.608,0.496,0.496,0.608,Bulk,4,0.2247734983356505
147318256991670372,0.35369561911871117,2.3609671517159283,0.5137584546457123,0.408,1.0,0.0,0.584,0.584,0.584,0.488,0.488,0.584,Bulk,3,0.01549660399382106
